Year,12 Months Ending,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Ticker
2013,12/31/13,16.55,,,CMS
2014,12/31/14,16.55,,,CMS
2015,12/31/15,16.55,,,CMS
2016,12/31/16,48.97,13001.5,101.5,CMS
2017,12/31/17,51.72,12891,16088,CMS
2018,12/31/18,44.14,12743,166.4,CMS
2019,12/31/19,53.79,12659,17376.7,CMS
current,2/10/21,53.79,,,CMS
2005,12/31/05,,,,CNP
2006,12/31/06,,,,CNP
2007,12/31/07,,,,CNP
2008,12/31/08,,,,CNP
2009,12/31/09,1.38,,,CNP
2010,12/31/10,1.38,,,CNP
2011,12/31/11,1.38,,,CNP
2012,12/31/12,3.45,,,CNP
2013,12/31/13,3.45,,,CNP
2014,12/31/14,3.45,,,CNP
2015,12/31/15,3.45,,,CNP
2016,12/31/16,7.59,,,CNP
2017,12/31/17,26.21,5453.9,,CNP
2018,12/31/18,28.28,6150.2,,CNP
2019,12/31/19,35.86,5868.4,,CNP
current,2/10/21,35.86,,,CNP
2005,12/31/05,,,,COG
2006,12/31/06,,,,COG
2007,12/31/07,,,,COG
2008,12/31/08,,,,COG
2009,12/31/09,1.65,,,COG
2010,12/31/10,1.65,,,COG
2011,12/31/11,1.65,,,COG
2012,12/31/12,1.65,,,COG
2013,12/31/13,4.13,,,COG
2014,12/31/14,4.13,,,COG
2015,12/31/15,4.13,,,COG
2016,12/31/16,4.13,,,COG
2017,12/31/17,6.61,,,COG
2018,12/31/18,6.61,,,COG
2019,12/31/19,22.31,530.9,,COG
current,2/10/21,22.31,,,COG
2005,12/31/05,,,,COP
2006,12/31/06,52.07,53423.2,243138,COP
2007,12/31/07,53.72,54971.2,226380,COP
2008,12/31/08,55.37,54735,2404492,COP
2009,12/31/09,59.5,54623.1,79380,COP
2010,12/31/10,57.02,58634.7,79879.8,COP
2011,12/31/11,61.98,59400,79497.6,COP
2012,12/31/12,59.5,24478.6,73441.2,COP
2013,12/31/13,59.5,25761.2,73088.4,COP
2014,12/31/14,63.64,26039.3,71706.6,COP
2015,12/31/15,62.81,24445,64092,COP
2016,12/31/16,64.46,25300,68796,COP
2017,12/31/17,61.16,19400,66150,COP
2018,12/31/18,61.16,19200,67032,COP
2019,12/31/19,66.94,19500,66150,COP
current,2/10/21,66.94,,,COP
2005,12/31/05,,,,CVX
2006,12/31/06,30.58,65400,264600,CVX
2007,12/31/07,30.58,63700,269892,CVX
2008,12/31/08,34.71,62700,268716,CVX
2009,12/31/09,37.19,60800,225556,CVX
2010,12/31/10,37.19,62100,263722,CVX
2011,12/31/11,35.54,61600,263889,CVX
2012,12/31/12,47.11,70000,255000,CVX
2013,12/31/13,49.59,69000,258056,CVX
