Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC,Company,Total_Assets,Net_Income,Total_Sales,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin,Annual_Stock_Return,Ratio of GHG Emissions to Total Assets,Ratio of GHG Emissions to Total Sales,Ratio of Total Energy Consumption to Total Assets,Ratio of Total Energy Consumption to Total Sales,Profitable,Logarithm_Total_Assets,Logarithm_Total_Sales
2005,AEE,,,,,,,AMEREN CORP,18162.0,619.0,6780.0,0.0,0.0,0.0,3.4082149543001874,9.129793510324484,,,,,,True,9.807086778249774,8.821732380934442
2006,AEE,,,,,,,AMEREN CORP,19578.0,558.0,6880.0,1.4749262536873253,7.796498183019485,-9.854604200323102,2.850137909898866,8.11046511627907,,,,,,True,9.882161765821376,8.836373930927389
2007,AEE,9.7,,,,,,AMEREN CORP,20728.0,629.0,7546.0,9.680232558139545,5.873940136888334,12.724014336917566,3.0345426476263992,8.335542009011396,,,,,,True,9.939240722241946,8.928772900524256
2008,AEE,9.7,,,0.0,,,AMEREN CORP,22657.0,615.0,7839.0,3.8828518420355174,9.30625241219607,-2.225755166931642,2.7143929028556295,7.845388442403369,,,,,,True,10.028224133937455,8.966866554188723
2009,AEE,12.4,,,27.835051546391764,,,AMEREN CORP,23790.0,612.0,7090.0,-9.554790151805081,5.000662047049476,-0.4878048780487809,2.5725094577553596,8.631875881523273,,,,,,True,10.077020603297003,8.866440619526173
2010,AEE,12.4,,,0.0,,,AMEREN CORP,23515.0,139.0,7638.0,7.729196050775733,-1.1559478772593557,-77.2875816993464,0.5911120561343822,1.8198481277821417,,,,,,True,10.065393794379148,8.940891067785461
2011,AEE,12.4,,,0.0,,,AMEREN CORP,23645.0,519.0,7531.0,-1.4008902854150351,0.5528386136508523,273.38129496402877,2.1949672235144853,6.891515071039703,,,,,,True,10.070906955077977,8.926783114101351
2012,AEE,20.0,,,61.29032258064515,,,AMEREN CORP,21835.0,-974.0,6828.0,-9.334749701234902,-7.654895326707544,-287.66859344894027,-4.460728188687887,-14.264792032806092,,,,,,False,9.991269465919661,8.828787083914332
2013,AEE,24.8,32978.0,,24.0,,,AMEREN CORP,21042.0,289.0,5838.0,-14.499121265377857,-3.6317838332951657,-129.67145790554414,1.3734435890124514,4.950325453922576,7.828930690696745,1567.2464594620283,5648.852346694073,,,True,9.954275719368233,8.67214355141406
2014,AEE,35.9,30675.0,,44.758064516129025,-6.9834435077930745,,AMEREN CORP,22676.0,586.0,6053.0,3.6827680712572697,7.765421537876627,102.76816608996539,2.584230022931734,9.681149843053031,22.20736270496133,1352.7518080790262,5067.73500743433,,,True,10.029062375444195,8.708309295891688
2015,AEE,41.4,28548.2,2717.2,15.32033426183843,-6.933333333333335,,AMEREN CORP,23640.0,630.0,6098.0,0.7434330084255647,4.251190686188044,7.508532423208192,2.66497461928934,10.331256149557232,24.518616883483134,1207.622673434856,4681.567727123647,114.94077834179357,445.5887176123319,True,10.070695471520034,8.7157161275482
2016,AEE,41.4,26795.6,2444.5,0.0,-6.139091081048898,-10.036066539084343,AMEREN CORP,24699.0,653.0,6076.0,-0.3607740242702495,4.479695431472086,3.65079365079366,2.6438317340783026,10.747202106649112,3.3930610128289462,1084.8860277744038,4410.0724160632,98.97161828414106,402.3206056616195,True,10.114518035966535,8.712101863715663
2017,AEE,41.4,30200.4,44392.9,0.0,12.706563764200096,1716.031908365719,AMEREN CORP,25945.0,523.0,6177.0,1.6622778143515538,5.044738653386771,-19.90811638591118,2.01580265947196,8.466893313906427,21.389044893981414,1164.0161880901908,4889.169499757164,1711.0387357872423,7186.8058928282335,True,10.16373419180184,8.728587995695898
2018,AEE,41.4,29588.0,45911.3,0.0,-2.0277877114210474,3.4203667703619267,AMEREN CORP,27215.0,815.0,6291.0,1.845556095191836,4.89497012911928,55.83173996175908,2.9946720558515527,12.955015100937848,10.888363191059325,1087.1945618225243,4703.226831982197,1686.9851185008267,7297.93355587347,True,10.2115235708683,8.74687531957003
2019,AEE,42.8,24413.7,38864.2,3.3816425120772875,-17.487832905231848,-15.349380217941999,AMEREN CORP,28933.0,828.0,5910.0,-6.056270863137813,6.312695204850272,1.595092024539868,2.8617841219368887,14.01015228426396,26.225499779786944,843.8011958663118,4130.913705583756,1343.2481941036187,6576.006768189509,True,10.27273809117664,8.684401110400144
2005,AEP,,,,,,,AMERICAN ELECTRIC POWER CO,36172.0,821.0,12111.0,0.0,0.0,0.0,2.269711378967157,6.7789612748740815,,,,,,True,10.496040617860372,9.401869409521051
2006,AEP,15.2,,,,,,AMERICAN ELECTRIC POWER CO,37987.0,1005.0,12622.0,4.219304764263887,5.0176932433926735,22.411693057247263,2.645641930133993,7.962288068451909,,,,,,True,10.54499927491401,9.443196602144186
