Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption
2010,PEG,33.8,22707.4,
2011,PEG,26.9,16094.3,
2012,PEG,26.9,13929.4,
2013,PEG,28.3,14955.6,
2014,PEG,25.5,15460.1,
2015,PEG,25.5,15129.7,
2016,PEG,34.5,13116.0,
2017,PEG,46.2,12080.8,99316.0
2018,PEG,39.3,13684.6,
2019,PEG,49.0,13378.2,29474.7
2005,PNW,,,
2006,PNW,,,
2007,PNW,33.1,,
2008,PNW,44.8,16379.4,
2009,PNW,46.9,15631.1,
2010,PNW,46.9,15245.4,
2011,PNW,44.8,15272.7,
2012,PNW,42.8,14638.0,
2013,PNW,42.1,14227.3,
2014,PNW,40.7,14443.6,
2015,PNW,50.3,13635.4,25307.6
2016,PNW,51.7,10112.3,24793.4
2017,PNW,51.7,10822.5,31238.3
2018,PNW,51.7,12008.5,32646.0
2019,PNW,51.7,12298.8,33402.4
2005,PPL,,,
2006,PPL,20.0,,
2007,PPL,22.1,,
2008,PPL,17.2,,
2009,PPL,15.9,,
2010,PPL,13.8,,
2011,PPL,10.3,,
2012,PPL,10.3,,
2013,PPL,16.6,,
2014,PPL,19.3,,
2015,PPL,42.8,30382.3,414.7
2016,PPL,40.7,28941.8,395.6
2017,PPL,45.5,28587.4,404.6
2018,PPL,45.5,29618.4,412.7
2019,PPL,46.9,26851.6,413.7
2005,PSX,,,
2006,PSX,,,
2007,PSX,,,
2008,PSX,,,
2009,PSX,,,
2010,PSX,,,
2011,PSX,,,
2012,PSX,2.3,,
2013,PSX,2.3,,
2014,PSX,6.2,,
2015,PSX,26.4,28200.0,141120.0
2016,PSX,26.4,29300.0,143472.0
2017,PSX,33.3,26600.0,143472.0
2018,PSX,33.3,26500.0,142002.0
2019,PSX,35.7,30500.0,144942.0
2005,PXD,,,
2006,PXD,,,
2007,PXD,,,
2008,PXD,,,
2009,PXD,1.7,,
2010,PXD,1.7,,
2011,PXD,1.7,,
2012,PXD,5.8,,
2013,PXD,4.1,,
2014,PXD,8.3,,
2015,PXD,8.3,,
2016,PXD,14.9,,
2017,PXD,21.5,,
2018,PXD,24.8,,
2019,PXD,39.7,2002.1,
2005,SLB,,,
2006,SLB,11.6,,5277.8
2007,SLB,18.6,,5555.6
2008,SLB,20.9,,6111.1
2009,SLB,27.9,1500.0,5277.8
2010,SLB,31.8,1610.0,4166.7
2011,SLB,29.5,1900.0,5500.0
2012,SLB,34.1,2200.0,5500.0
2013,SLB,37.2,1790.0,9820.0
2014,SLB,54.3,2100.0,9450.0
2015,SLB,60.5,1400.0,6275.0
2016,SLB,52.7,1136.0,5506.0
2017,SLB,51.2,1358.0,6644.0
2018,SLB,48.8,1423.0,6814.0
2019,SLB,46.5,1629.0,7718.0
2005,SO,22.8,,
2006,SO,24.8,,
2007,SO,24.8,,
2008,SO,31.0,,
2009,SO,29.0,,
2010,SO,26.9,,
2011,SO,26.2,,
2012,SO,30.3,,
2013,SO,29.7,,
2014,SO,24.1,,
2015,SO,26.2,,
2016,SO,27.6,,
2017,SO,29.0,,
2018,SO,34.5,96600.0,
2019,SO,49.0,88213.6,170858.0
2005,SRE,,,
2006,SRE,2.1,,
2007,SRE,11.0,,
