Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC,Ratio of GHG Emissions to Total Assets,Ratio of GHG Emissions to Total Sales,Ratio of Total Energy Consumption to Total Assets,Ratio of Total Energy Consumption to Total Sales,cusip,Company,Total_Assets,Net_Income,Total_Sales,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin,Annual Return,Logarithm_Total_Assets,Logarithm_Total_Sales,Profitable
2010,AEP,32.4,,,14.487632508833917,0.0,0.0,,,,,025537101,AMERICAN ELECTRIC POWER CO,50455.0,1214.0,14427.0,4904.0,6.95381421899326,4.357987920906759,-10.735294117647054,2.406104449509464,8.414777847092257,,10.828837128898629,9.576856729945773,True
2011,AEP,38.6,,,19.13580246913582,0.0,0.0,,,,,025537101,AMERICAN ELECTRIC POWER CO,52223.0,1946.0,15116.0,4904.0,4.775767657863739,3.504112575562379,60.29654036243821,3.726327480229018,12.873776131251654,,10.863278289856137,9.62350906446938,True
2012,AEP,33.1,,,-14.24870466321243,0.0,0.0,,,,,025537101,AMERICAN ELECTRIC POWER CO,54367.0,1259.0,14945.0,4904.0,-1.131251653876686,4.105470769584274,-35.303186022610475,2.31574300586753,8.424222147875543,0.1982695130699732,10.903512631130049,9.61213207471804,True
2013,AEP,49.0,120807.0,3773309.0,48.03625377643503,0.0,0.0,2141.4365228489382,7866.575503027935,66886.03892650761,245706.12749886044,025537101,AMERICAN ELECTRIC POWER CO,56414.0,1480.0,15357.0,4904.0,2.7567748410839643,3.7651516544962895,17.553613979348693,2.623462261140852,9.637298951618154,0.1201567522500899,10.940472633633291,9.639326675125693,True
2014,AEP,49.0,130319.0,422634.0,0.0,7.873715927057212,-88.79938006667358,2185.350393238643,7656.815511163337,7087.250347961699,24831.609870740307,025537101,AMERICAN ELECTRIC POWER CO,59633.0,1634.0,17020.0,4904.0,10.828937943608777,5.706030417981345,10.4054054054054,2.7400935723508795,9.600470035252645,0.3528345331088098,10.995964391098154,9.742144402127366,True
2015,AEP,46.2,108611.0,341466.0,-5.714285714285705,-16.657586384180355,-19.20526980791892,1760.790232656919,6601.208275593805,5535.811267591934,20753.774341769386,025537101,AMERICAN ELECTRIC POWER CO,61683.1,2047.1,16453.2,4904.0,-3.3301997649823667,3.437861586705337,25.281517747858008,3.3187372229994927,12.441956579875038,0.0259433619574851,11.029765266377622,9.70827526615061,True
2016,AEP,53.8,99166.6,317362.0,16.450216450216427,-8.695620148972017,-7.058975124902622,1562.4735101476815,6054.090023870428,5000.370267080736,19374.851191384667,025537101,AMERICAN ELECTRIC POWER CO,63467.7,610.9,16380.1,4904.0,-0.4442904723701235,2.8931749539176765,-70.15778418250207,0.962536849452556,3.7295254607725226,0.1053906684251082,11.058286394051354,9.70382246239453,True
2017,AEP,55.2,78760.4,237034.0,2.602230483271395,-20.577694506013124,-25.31115886590077,1216.769582768801,5106.055792906275,3661.9387570659874,15366.971584904926,025537101,AMERICAN ELECTRIC POWER CO,64729.1,1912.6,15424.9,4904.0,-5.831466230364901,1.9874676410205567,213.0790636765428,2.95477613623548,12.39943208707998,0.1258548162774573,11.077966147534353,9.6437383657704,True
2018,AEP,55.2,75361.2,244430.0,0.0,-4.315874474989967,3.120227477914561,1095.3217020237548,4653.161024222479,3552.617044655159,15092.27757985144,025537101,AMERICAN ELECTRIC POWER CO,68802.8,1923.8,16195.7,4904.0,4.997115054230505,6.293459973952986,0.5855902959322368,2.796107135174731,11.878461566959132,0.1751698442343476,11.138999720767726,9.692501053888376,True
2019,AEP,54.5,64776.3,212645.0,-1.2681159420289911,-14.045556599417196,-13.00372294726506,853.529277673756,4162.626755947408,2801.9311577063813,13664.901615535877,025537101,AMERICAN ELECTRIC POWER CO,75892.3,1921.1,15561.4,4904.0,-3.916471656056864,10.304086461597484,-0.1403472294417285,2.531350347795494,12.345290269513026,0.407672768922019,11.237070508962033,9.652548767977995,True
