,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC,Ratio of GHG Emissions to Total Assets,Ratio of GHG Emissions to Total Sales,Ratio of Total Energy Consumption to Total Assets,Ratio of Total Energy Consumption to Total Sales
206,2016,DTE,55.9,32000.0,93087.0,17.43697478991595,-5.604719764011801,-10.210951742498043,998.7203895009519,3010.348071495767,2905.2464030460974,8757.008466603951
207,2017,DTE,58.6,31857.0,102600.0,4.830053667262968,-0.44687500000000213,10.21947210673886,943.4358989546007,2526.929483620211,3038.4695116533894,8138.335845165384
208,2018,DTE,64.8,34246.0,108380.0,10.580204778156999,7.49913676742946,5.633528265107213,943.7279541446209,2409.6538136785816,2986.662257495591,7625.949901491697
209,2019,DTE,60.7,30714.0,108308.0,-6.327160493827155,-10.313613268702914,-0.06643292120317446,733.3460675230409,2424.342884205541,2586.0274103433458,8549.05675270345
210,2005,DUK,,,,0.0,0.0,0.0,,,,
211,2006,DUK,22.8,,,0.0,0.0,0.0,,,,
212,2007,DUK,31.7,,342779.0,39.03508771929825,0.0,0.0,,,6896.406727828747,26948.03459119497
213,2008,DUK,41.4,,327939.0,30.59936908517349,0.0,-4.3293200575297845,,,6178.551915142152,24830.6958431135
214,2009,DUK,53.8,,406069.0,29.951690821256037,0.0,23.82455273694193,,,7119.021739130435,31896.080433587307
215,2010,DUK,56.6,,425409.0,5.204460966542768,0.0,4.7627373672947115,,,7199.3399898459975,29807.24495515695
216,2011,DUK,57.9,143835.0,449849.0,2.29681978798586,0.0,5.745059460425139,2300.4030323385473,9899.855461490812,7194.591050123149,30962.144676164913
217,2012,DUK,59.3,135939.0,456003.0,2.4179620034542326,-5.489623526957976,1.3680146004548144,1193.9555227655987,6927.181002853648,4005.085370994941,23237.005707297187
218,2013,DUK,65.5,124472.0,416088.0,10.455311973018544,-8.435401172584767,-8.753231886632328,1084.449245942202,5070.349097722921,3625.123062581134,16949.28510326286
219,2014,DUK,57.9,125893.0,460691.0,-11.603053435114507,1.1416222122244468,10.719607390744269,1042.9462591853135,5260.885917258671,3816.5422627973057,19251.608859172586
220,2015,DUK,62.8,101131.0,374656.0,8.462867012089802,-19.669084063450704,-18.675207460097987,834.7172240747466,4310.968071955326,3092.3437551586385,15970.67223666823
221,2016,DUK,55.2,98115.6,355868.0,-12.101910828025463,-2.9816772305227834,-5.014733515544922,739.0393263081778,4312.015469807507,2680.516115425464,15639.799595675486
222,2017,DUK,53.8,96543.4,341500.0,-2.5362318840579823,-1.602395541585655,-4.037452088976812,700.0261032237481,4096.897941862932,2476.180808329829,14491.831105453002
223,2018,DUK,57.9,96547.1,380260.0,7.620817843866168,0.0038324732710925957,11.349926793557842,664.0468526466381,3937.3231108029854,2615.412127214702,15507.52416296236
224,2019,DUK,58.6,85517.5,334020.0,1.2089810017271274,-11.424061416655707,-12.16010098353758,538.3944648006145,3409.924638143467,2102.8972915801005,13318.712867339209
225,2005,DVN,,,,0.0,0.0,0.0,,,,
226,2006,DVN,,,,0.0,0.0,0.0,,,,
227,2007,DVN,9.9,3680.0,,0.0,0.0,0.0,88.76881512929371,323.88663967611336,,
228,2008,DVN,9.9,3680.0,,0.0,0.0,0.0,115.33157828757679,241.93018210505556,,
229,2009,DVN,4.1,,,-58.58585858585859,0.0,0.0,,,,
230,2010,DVN,4.1,,,0.0,0.0,0.0,,,,
231,2011,DVN,19.0,7232.9,,363.41463414634154,0.0,0.0,175.9102074567697,631.4737209708398,,
232,2012,DVN,19.0,7596.7,,0.0,5.029794411646793,0.0,175.33813414577853,799.4843190907177,,
233,2013,DVN,19.0,7644.6,,0.0,0.6305369436729213,0.0,178.29139165519976,735.269789362316,,
234,2014,DVN,24.0,5925.4,10223.4,26.315789473684205,-22.48907725714885,0.0,117.01720086103047,302.84166411121333,201.895846910362,522.5084329960135
235,2015,DVN,26.5,6065.8,11278.2,10.416666666666675,2.369460289600722,10.317506895944618,205.3975348774211,461.4530239634842,381.89760260056886,857.984024343857
236,2016,DVN,28.9,5381.1,18165.9,9.056603773584904,-11.28787629001945,61.070915571633776,207.66024775209354,522.2340838509317,701.0342299232045,1762.994953416149
237,2017,DVN,36.4,5368.9,26062.3,25.951557093425603,-0.22671944397987254,43.46825645852943,177.5371184815317,384.89497455014697,861.8200456334116,1868.3991683991685
238,2018,DVN,36.4,5647.5,21533.4,0.0,5.189144890014719,-17.377207690802422,288.63845446182154,526.1319172722191,1100.5519779208832,2006.0927892677473
239,2019,DVN,36.4,2610.0,8295.6,0.0,-53.78486055776892,-61.475661066064816,190.27484143763215,419.61414790996787,604.7678063716556,1333.6977491961416
240,2005,ED,,,,0.0,0.0,0.0,,,,
241,2006,ED,17.9,,,0.0,0.0,0.0,,,,
242,2007,ED,6.2,,,-65.36312849162012,0.0,0.0,,,,
243,2008,ED,6.2,,,0.0,0.0,0.0,,,,
244,2009,ED,27.6,3735.6,,345.16129032258067,0.0,0.0,110.28252590558853,286.64825046040517,,
245,2010,ED,44.1,3265.2,21148.9,59.78260869565217,-12.59235464182461,0.0,90.33364687655619,245.04315196998124,585.0965528689205,1587.1594746716698
246,2011,ED,51.0,3370.5,18962.8,15.646258503401356,3.2249173098125805,-10.336707819319212,85.95144591217422,260.5116710465296,483.572193604325,1465.6670273612615
247,2012,ED,57.9,3314.4,14650.6,13.529411764705879,-1.6644414775255911,-22.74031261206151,80.42903249290204,271.93961273383655,355.5194253682448,1202.0511978995733
248,2013,ED,62.8,3361.5,15276.8,8.462867012089802,1.4210716871831952,4.274227676682174,82.69983024577459,272.0981058766391,375.8407754569833,1236.5873401327506
249,2014,ED,62.8,3157.2,14390.2,0.0,-6.07764390896921,-5.803571428571419,71.25575516836689,244.38424026627447,324.7765640516385,1113.8787831875532
250,2015,ED,59.3,3137.1,14467.5,-5.573248407643316,-0.636640060813376,0.5371711303525872,68.73274615485737,249.888481758802,316.97778362034967,1152.4215389517285
251,2016,ED,44.1,3093.0,,-25.632377740303536,-1.405756909247391,0.0,64.09698476841778,256.14906832298135,,
252,2017,ED,37.2,3015.0,,-15.646258503401356,-2.521823472356932,0.0,62.667581218432375,250.5609573672401,,
253,2018,ED,37.2,3068.0,,0.0,1.7578772802653297,0.0,56.89910979228487,248.6828240252898,,
254,2019,ED,40.0,2907.0,,7.526881720430101,-5.2477183833116055,0.0,50.052514678283025,231.19134722443135,,
255,2005,EIX,,,,0.0,0.0,0.0,,,,
256,2006,EIX,,,,0.0,0.0,0.0,,,,
257,2007,EIX,7.6,,,0.0,0.0,0.0,,,,
258,2008,EIX,7.6,,,0.0,0.0,0.0,,,,
259,2009,EIX,7.6,,,0.0,0.0,0.0,,,,
260,2010,EIX,7.6,,,0.0,0.0,0.0,,,,
261,2011,EIX,25.5,5715.3,,235.52631578947373,0.0,0.0,118.97208518079061,447.90752351097177,,
262,2012,EIX,25.5,7200.0,,0.0,25.97763896908298,0.0,162.18407892958507,606.9802731411229,,
263,2013,EIX,25.5,6200.0,,0.0,-13.888888888888884,0.0,132.91600565964927,492.8066131468087,,
264,2014,EIX,27.6,2400.0,,8.235294117647074,-61.29032258064516,0.0,47.82210178137329,178.93088794453143,,
265,2015,EIX,27.6,2400.0,,0.0,0.0,0.0,47.70423375074538,208.26102047900034,,
266,2016,EIX,27.6,2400.0,,0.0,0.0,0.0,46.76630487733588,202.20743112309378,,
267,2017,EIX,33.1,1900.0,,19.92753623188406,-20.833333333333336,0.0,36.13541270445036,154.2207792207792,,
268,2018,EIX,36.6,1100.0,,10.574018126888207,-42.10526315789473,0.0,19.39522172264833,86.90843011772142,,
269,2019,EIX,44.1,1400.0,,20.491803278688515,27.27272727272727,0.0,21.745208288030817,113.3878674981777,,
270,2005,EOG,,,,0.0,0.0,0.0,,,,
