,gvkey,datadate,fyear,tic,cusip,conm,at,ni,sale,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin
54,1678,20141231,2014,APA,37411105,APACHE CORP,55952,-5403,13749,6769,-16.17485672,-9.223356101,-342.0698925,-9.656491278,-39.29740345
55,1678,20151231,2015,APA,37411105,APACHE CORP,18842,-23119,6383,6769,-53.57480544,-66.32470689,327.8919119,-122.6992888,-362.1964593
56,1678,20161231,2016,APA,37411105,APACHE CORP,22519,-1405,5367,6769,-15.91728028,19.51491349,-93.92274752,-6.239175807,-26.17849823
57,1678,20171231,2017,APA,37411105,APACHE CORP,21922,1304,5752,6769,7.173467486,-2.651094631,-192.8113879,5.948362376,22.67037552
58,1678,20181231,2018,APA,37411105,APACHE CORP,21582,40,7331,6769,27.45132128,-1.55095338,-96.93251534,0.185339635,0.545628154
59,1678,20191231,2019,APA,37411105,APACHE CORP,18107,-3553,6280,6769,-14.33637976,-16.10138078,-8982.5,-19.62224554,-56.57643312
154,4383,20050930,2005,ATO,49560105,ATMOS ENERGY CORP,5653.527,135.785,4973.326,731802,0,0,0,2.401775034,2.73026542
155,4383,20060930,2006,ATO,49560105,ATMOS ENERGY CORP,5719.547,147.737,6152.363,731802,23.70721324,1.1677666,8.802150458,2.58301925,2.401304995
156,4383,20070930,2007,ATO,49560105,ATMOS ENERGY CORP,5896.917,168.492,5898.431,731802,-4.127389753,3.101119722,14.04861341,2.857289665,2.85655626
157,4383,20080930,2008,ATO,49560105,ATMOS ENERGY CORP,6386.699,180.331,7221.305,731802,22.42755743,8.305729926,7.026446359,2.823539985,2.497207915
158,4383,20090930,2009,ATO,49560105,ATMOS ENERGY CORP,6343.766,190.978,4969.08,731802,-31.1886148,-0.672225198,5.904142937,3.010483047,3.843327135
159,4383,20100930,2010,ATO,49560105,ATMOS ENERGY CORP,6763.791,205.839,4789.69,731802,-3.610125013,6.621067044,7.781524574,3.043248971,4.297543265
160,4383,20110930,2011,ATO,49560105,ATMOS ENERGY CORP,7282.871,207.601,4347.634,731802,-9.229323818,7.674394434,0.856008822,2.850537927,4.775033961
161,4383,20120930,2012,ATO,49560105,ATMOS ENERGY CORP,7495.675,216.717,3438.483,731802,-20.91139687,2.921979533,4.39111565,2.891227274,6.302692205
162,4383,20130930,2013,ATO,49560105,ATMOS ENERGY CORP,7940.401,243.194,3886.257,731802,13.02242879,5.933101422,12.21731567,3.062742045,6.257795097
163,4383,20140930,2014,ATO,49560105,ATMOS ENERGY CORP,8594.704,289.817,4940.916,731802,27.13816919,8.24017578,19.17111442,3.372041667,5.865653251
164,4383,20150930,2015,ATO,49560105,ATMOS ENERGY CORP,9092.945,315.075,4142.136,731802,-16.16663793,5.797069917,8.715154736,3.465049002,7.606582691
165,4383,20160930,2016,ATO,49560105,ATMOS ENERGY CORP,10010.889,350.104,3349.949,731802,-19.12508426,10.0951232,11.1176704,3.497231864,10.45102478
166,4383,20170930,2017,ATO,49560105,ATMOS ENERGY CORP,10749.596,396.421,2759.735,731802,-17.61859658,7.379034969,13.22949752,3.687775801,14.36445891
167,4383,20180930,2018,ATO,49560105,ATMOS ENERGY CORP,11874.437,603.064,3115.546,731802,12.89294081,10.46403046,52.12715774,5.078674467,19.35660716
168,4383,20190930,2019,ATO,49560105,ATMOS ENERGY CORP,13367.619,511.406,2901.848,731802,-6.859086658,12.57476039,-15.19871854,3.82570748,17.62345926
756,179437,20051231,2005,AWK,30420103,AMERICAN WATER WORKS CO INC,11847.045,-324.813,2136.746,1410636,0,0,0,-2.74172167,-15.20129206
757,179437,20061231,2006,AWK,30420103,AMERICAN WATER WORKS CO INC,12028.815,-162.028,2093.067,1410636,-2.044183071,1.534306656,-50.11652859,-1.346998852,-7.741175987
758,179437,20071231,2007,AWK,30420103,AMERICAN WATER WORKS CO INC,12115.685,-342.601,2214.215,1410636,5.788061252,0.722182526,111.4455526,-2.827747668,-15.47279736
759,179437,20081231,2008,AWK,30420103,AMERICAN WATER WORKS CO INC,12320.403,-562.196,2336.928,1410636,5.542054408,1.689693979,64.09642704,-4.563129956,-24.05705268
760,179437,20091231,2009,AWK,30420103,AMERICAN WATER WORKS CO INC,12479.371,-232.858,2440.703,1410636,4.440658848,1.290282469,-58.58063736,-1.865943404,-9.540611865
761,179437,20101231,2010,AWK,30420103,AMERICAN WATER WORKS CO INC,13063.311,268.051,2710.677,1410636,11.06132127,4.679242247,-215.1135026,2.051937675,9.888710459
762,179437,20111231,2011,AWK,30420103,AMERICAN WATER WORKS CO INC,13809.643,309.837,2666.236,1410636,-1.639479731,5.713191702,15.58882451,2.243627877,11.62076425
