,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC
336,2011,EXC,43.5,6600.0,,0.0,-28.787224859732408,0.0
337,2012,EXC,46.9,22497.0,,7.8160919540229745,240.86363636363637,0.0
338,2013,EXC,48.3,18697.0,,2.985074626865658,-16.89114104102769,0.0
339,2014,EXC,60.7,16786.0,88591.3,25.67287784679091,-10.220891052040438,0.0
340,2015,EXC,55.9,7677.0,64944.5,-7.907742998352562,-54.265459311330865,-26.692011518061033
341,2016,EXC,58.6,9723.0,82392.5,4.830053667262968,26.651035560765933,26.866016367821754
342,2017,EXC,64.1,10200.0,72702.2,9.385665529010234,4.905893242826287,-11.76114330794672
343,2018,EXC,59.3,9526.0,75006.7,-7.48829953198128,-6.607843137254898,3.1697802817521437
344,2019,EXC,49.7,9395.0,66356.9,-16.18887015177065,-1.3751837077472184,-11.532036471408558
345,2005,FANG,,,,0.0,0.0,0.0
346,2006,FANG,,,,0.0,0.0,0.0
347,2007,FANG,,,,0.0,0.0,0.0
348,2008,FANG,,,,0.0,0.0,0.0
349,2009,FANG,,,,0.0,0.0,0.0
350,2010,FANG,,,,0.0,0.0,0.0
351,2011,FANG,,,,0.0,0.0,0.0
352,2012,FANG,,,,0.0,0.0,0.0
353,2013,FANG,,,,0.0,0.0,0.0
354,2014,FANG,,,,0.0,0.0,0.0
355,2015,FANG,3.9,,,0.0,0.0,0.0
356,2016,FANG,14.0,,,258.974358974359,0.0,0.0
357,2017,FANG,24.0,,,71.42857142857142,0.0,0.0
358,2018,FANG,24.0,,,0.0,0.0,0.0
359,2019,FANG,26.4,,,9.999999999999986,0.0,0.0
360,2005,FE,,,,0.0,0.0,0.0
361,2006,FE,,,,0.0,0.0,0.0
362,2007,FE,11.7,,,0.0,0.0,0.0
363,2008,FE,9.7,,,-17.0940170940171,0.0,0.0
364,2009,FE,13.1,,,35.05154639175259,0.0,0.0
365,2010,FE,13.1,,,0.0,0.0,0.0
366,2011,FE,13.1,,,0.0,0.0,0.0
367,2012,FE,13.1,,,0.0,0.0,0.0
368,2013,FE,13.1,,,0.0,0.0,0.0
369,2014,FE,13.1,,,0.0,0.0,0.0
370,2015,FE,17.2,,,31.29770992366412,0.0,0.0
371,2016,FE,31.7,46333.4,,84.30232558139534,0.0,0.0
372,2017,FE,37.9,42354.9,,19.558359621451093,-8.586678292549221,0.0
373,2018,FE,47.6,32874.7,203527.0,25.59366754617416,-22.38277035242676,0.0
374,2019,FE,,17935.5,,0.0,-45.442848147663696,0.0
375,2005,FTI,,,,0.0,0.0,0.0
376,2006,FTI,,,,0.0,0.0,0.0
377,2007,FTI,,,,0.0,0.0,0.0
378,2008,FTI,,,,0.0,0.0,0.0
379,2009,FTI,,,,0.0,0.0,0.0
380,2010,FTI,,,,0.0,0.0,0.0
381,2011,FTI,,,,0.0,0.0,0.0
382,2012,FTI,,,,0.0,0.0,0.0
383,2013,FTI,,,,0.0,0.0,0.0
384,2014,FTI,,,,0.0,0.0,0.0
385,2015,FTI,,,,0.0,0.0,0.0
386,2016,FTI,,,,0.0,0.0,0.0
387,2017,FTI,14.0,483.2,,0.0,0.0,0.0
388,2018,FTI,14.0,574.1,,0.0,18.81208609271523,0.0
389,2019,FTI,16.3,416.1,,16.428571428571438,-27.52133774603728,0.0
390,2005,HAL,,,,0.0,0.0,0.0
391,2006,HAL,9.3,,,0.0,0.0,0.0
392,2007,HAL,14.0,,,50.53763440860215,0.0,0.0
393,2008,HAL,11.6,,,-17.14285714285715,0.0,0.0
394,2009,HAL,15.5,,,33.62068965517242,0.0,0.0
395,2010,HAL,17.8,,,14.83870967741936,0.0,0.0
396,2011,HAL,42.6,4426.6,,139.3258426966292,0.0,0.0
397,2012,HAL,17.8,,,-58.21596244131455,0.0,0.0
398,2013,HAL,17.8,,,0.0,0.0,0.0
399,2014,HAL,43.4,11438.9,45534.0,143.82022471910113,0.0,0.0
400,2015,HAL,45.0,3210.4,12644.6,3.686635944700467,-71.93436431824738,-72.23042122370097
401,2016,HAL,46.5,1770.7,7135.0,3.3333333333333437,-44.84487914278594,-43.572750423105525
402,2017,HAL,46.5,1837.7,7469.6,0.0,3.7838143107245648,4.68955851436581
403,2018,HAL,46.5,4739.0,19523.8,0.0,157.87669369320346,161.37678055049798
404,2019,HAL,45.7,4511.4,18814.1,-1.7204301075268713,-4.8027009917704255,-3.6350505536832056
405,2005,HES,,,,0.0,0.0,0.0
406,2006,HES,15.7,,,0.0,0.0,0.0
407,2007,HES,39.7,,,152.86624203821657,0.0,0.0
408,2008,HES,53.7,10700.0,,35.26448362720402,0.0,0.0
409,2009,HES,78.5,4000.0,12093.9,46.18249534450651,-62.616822429906534,0.0
410,2010,HES,78.5,3700.0,12348.9,0.0,-7.499999999999996,2.108500979832817
411,2011,HES,84.3,4300.0,12742.8,7.388535031847132,16.216216216216207,3.189757792192016
412,2012,HES,80.2,5000.0,13034.7,-4.8635824436536135,16.279069767441868,2.2907053394858323
413,2013,HES,73.6,4400.0,10435.3,-8.229426433915222,-12.0,-19.942154403246725
414,2014,HES,72.7,4800.0,9562.8,-1.2228260869565077,9.090909090909083,-8.361043764913322
415,2015,HES,76.0,5100.0,10041.1,4.53920220082531,6.25,5.001673150123409
416,2016,HES,76.0,4100.0,10623.9,0.0,-19.6078431372549,5.804144964197144
417,2017,HES,78.5,3700.0,9200.3,3.289473684210531,-9.756097560975608,-13.399975526878084
418,2018,HES,78.5,3577.3,8514.7,0.0,-3.3162162162162168,-7.451930915296224
419,2019,HES,80.2,3900.0,7828.3,2.165605095541401,9.020769854359422,-8.06135271941466
420,2005,HFC,,,,0.0,0.0,0.0
421,2006,HFC,,,,0.0,0.0,0.0
422,2007,HFC,1.6,,,0.0,0.0,0.0
423,2008,HFC,1.6,,,0.0,0.0,0.0
424,2009,HFC,1.6,,,0.0,0.0,0.0
425,2010,HFC,1.6,,,0.0,0.0,0.0
426,2011,HFC,1.6,,,0.0,0.0,0.0
427,2012,HFC,1.6,,,0.0,0.0,0.0
428,2013,HFC,1.6,,,0.0,0.0,0.0
429,2014,HFC,3.1,,,93.75,0.0,0.0
430,2015,HFC,3.1,,,0.0,0.0,0.0
431,2016,HFC,38.8,4829.0,20714.0,1151.6129032258063,0.0,0.0
432,2017,HFC,41.1,5328.0,23294.0,5.927835051546393,10.33340236073721,12.455344211644292
433,2018,HFC,41.1,5336.0,22777.0,0.0,0.15015015015014122,-2.219455653816438
434,2019,HFC,45.0,5443.0,23156.0,9.48905109489051,2.0052473763118472,1.6639592571453754
435,2005,KMI,,,,0.0,0.0,0.0
436,2006,KMI,,,,0.0,0.0,0.0
437,2007,KMI,,,,0.0,0.0,0.0
438,2008,KMI,,,,0.0,0.0,0.0
439,2009,KMI,,,,0.0,0.0,0.0
440,2010,KMI,5.4,,,0.0,0.0,0.0
441,2011,KMI,5.4,,,0.0,0.0,0.0
442,2012,KMI,5.4,,,0.0,0.0,0.0
443,2013,KMI,5.4,,,0.0,0.0,0.0
444,2014,KMI,5.4,,,0.0,0.0,0.0
445,2015,KMI,5.4,,,0.0,0.0,0.0
446,2016,KMI,5.4,,,0.0,0.0,0.0
447,2017,KMI,22.5,,,316.66666666666663,0.0,0.0
448,2018,KMI,27.1,,7755.0,20.444444444444443,0.0,0.0
449,2019,KMI,33.3,,7693.0,22.878228782287803,0.0,-0.79948420373952
450,2005,LNT,,,,0.0,0.0,0.0
451,2006,LNT,,,,0.0,0.0,0.0
452,2007,LNT,20.0,,,0.0,0.0,0.0
453,2008,LNT,24.1,,,20.500000000000007,0.0,0.0
454,2009,LNT,22.8,,,-5.394190871369298,0.0,0.0
455,2010,LNT,25.5,,,11.842105263157897,0.0,0.0
456,2011,LNT,25.5,,,0.0,0.0,0.0
457,2012,LNT,25.5,,,0.0,0.0,0.0
458,2013,LNT,22.1,,,-13.33333333333333,0.0,0.0
459,2014,LNT,22.1,,,0.0,0.0,0.0
460,2015,LNT,25.5,16460.0,,15.384615384615374,0.0,0.0
461,2016,LNT,31.7,14450.0,,24.31372549019608,-12.211421628189544,0.0
462,2017,LNT,33.8,16370.0,,6.624605678233442,13.287197231833915,0.0
463,2018,LNT,42.8,17480.0,,26.627218934911244,6.780696395846064,0.0
464,2019,LNT,42.8,14296.5,,0.0,-18.21224256292906,0.0
465,2005,MPC,,,,0.0,0.0,0.0
466,2006,MPC,,,,0.0,0.0,0.0
