fyear,Ticker,CompanyName,conml
2010,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2011,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2012,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2013,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2014,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2015,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2016,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2017,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2018,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2019,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp
2010,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2011,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2012,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2013,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2014,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2015,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2016,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2017,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2018,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2019,FE,FIRSTENERGY CORP,FirstEnergy Corp.
2010,OKE,ONEOK INC,ONEOK Inc
2011,OKE,ONEOK INC,ONEOK Inc
2012,OKE,ONEOK INC,ONEOK Inc
2013,OKE,ONEOK INC,ONEOK Inc
2014,OKE,ONEOK INC,ONEOK Inc
2015,OKE,ONEOK INC,ONEOK Inc
2016,OKE,ONEOK INC,ONEOK Inc
2017,OKE,ONEOK INC,ONEOK Inc
2018,OKE,ONEOK INC,ONEOK Inc
2019,OKE,ONEOK INC,ONEOK Inc
2010,SRE,SEMPRA ENERGY,Sempra Energy
2011,SRE,SEMPRA ENERGY,Sempra Energy
2012,SRE,SEMPRA ENERGY,Sempra Energy
2013,SRE,SEMPRA ENERGY,Sempra Energy
