ISIN,CompanyName,Country
BRENATACNOR0,ENAUTA PARTICIPACOES SA,Brazil
US6550441058,"NOBLE ENERGY, INC.",United States
COC04PA00016,ECOPETROL SA,Colombia
GB00BJVJZD68,Valaris plc,United Kingdom
CA00208D4084,ARC RESOURCES LIMITED,Canada
PG0008579883,OIL SEARCH LIMITED,Australia
OM0000003224,RENAISSANCE SERVICES SAOG,Oman
FR0013506730,Vallourec S.A.,France
CA6993202069,Paramount Resources Ltd.,Canada
US03674X1063,ANTERO RESOURCES CORP,United States
HU0000153937,MOL MAGYAR OLAJ ES GAZIPARI NYILVANOSAN MUKODO RESZVENYTARSASAG,Hungary
US75281A1097,RANGE RESOURCES CORPORATION,United States
IT0005252140,SAIPEM SPA,Italy
LU0075646355,SUBSEA 7 S.A.,United Kingdom
NO0010861990,Prosafe SE,Norway
KR7078930005,GS HOLDINGS CORP,South Korea
IT0000433307,SARAS,Italy
TH0471010Y04,IRPC PUBLIC COMPANY LIMITED,Thailand
INE002A01018,RELIANCE INDUSTRIES LIMITED,India
KR7096770003,SK INNOVATION COMPANY LIMITED,South Korea
JP3386450005,JXTG HOLDINGS INC,Japan
TH0796010005,THAI OIL PCL,Thailand
AU0000030645,Charter Hall Social Infrastructure REIT,Australia
SG1U25933169,CAPITARETAIL CHINA TRUST,Singapore
ZAE000203063,EMIRA PROPERTY FUND,South Africa
AU000000CHC0,CHARTER HALL GROUP,Australia
MYL5176TO001,Sunway Real Estate Investment Trust,Malaysia
AU000000CMW8,CROMWELL GROUP,Australia
CA0966311064,BOARDWALK REAL ESTATE INVESTMENT TRUST,Canada
ZAE000248498,Fortress REIT Limited,South Africa
AU000000DXS1,DEXUS,Australia
AU000000GPT8,GPT GROUP,Australia
US21870Q1058,CORESITE REALTY CORPORATION,United States
AU000000VCX7,Vicinity Centres,Australia
ZAE000190252,REDEFINE PROPERTIES LIMITED,South Africa
IT0005322612,IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,Italy
MXCFFU000001,FIBRA UNO ADMINISTRACION SA DE CV,Mexico
AU000000SCG8,SCENTRE GROUP,Australia
MYL5235SS008,KLCC PROPERTY HOLDINGS BHD,Malaysia
GB00BK7YQK64,Hammerson plc,United Kingdom
